title,url,category,price,count_review,address,count_photo,rating,rating_by_category,normalized_rating
Аристократ отель,https://www.tripadvisor.ru/Hotel_Review-g608960-d10501502-Reviews-Aristokrat_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Лодж,,8,"Верхнее Джемете, ул. Буковая, 32, Анапа 353450 Россия",24,5.0,1.9528301886792452,1.0604428404124913
Отель Гранд Прибой,https://www.tripadvisor.ru/Hotel_Review-g608960-d3327321-Reviews-Grand_Priboi_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,39,"Пионерский проспект, 81, Анапа 353456 Россия",9,4.0,0.9307741732627924,0.9307741732627924
Dream Hotel Anapa,https://www.tripadvisor.ru/Hotel_Review-g608960-d18895028-Reviews-Dream_Hotel_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,9,"проезд Золотой берег, 2Б, Анапа 353440 Россия",19,4.5,0.9558585900012304,0.9558585900012304
Робинзон,https://www.tripadvisor.ru/Hotel_Review-g608960-d7718128-Reviews-Robinzon-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,21,"проезд Тополиный, д. 3, Анапа 353456 Россия",3,4.0,0.8676154151116215,0.8676154151116215
"Отель  ""Якорь""",https://www.tripadvisor.ru/Hotel_Review-g608960-d5063883-Reviews-Yakor_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,15,"Новороссийская ул., 148А, Анапа 353440 Россия",6,4.0,1.1570929419986022,0.8541497491421619
Отель Астон ( Анапа),https://www.tripadvisor.ru/Hotel_Review-g608960-d13472986-Reviews-Hotel_Aston_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,6,"Первый проезд, д.4, Анапа 353456 Россия",0,5.0,1.018018018018018,1.018018018018018
Анапка-2,https://www.tripadvisor.ru/Hotel_Review-g608960-d6845128-Reviews-Anapka_2-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,8,"ул. Крымская, 41а, Анапа 353440 Россия",0,4.5,1.0509433962264152,0.9240240240240241
Магадан,https://www.tripadvisor.ru/Hotel_Review-g608960-d2334886-Reviews-Hotel_Magadan-Anapa_Krasnodar_Krai_Southern_District.html,Пансионат (B&B/мини-отель),,8,"ул. Советская, д. 1в, Анапа 353410 Россия",0,4.5,1.3,0.9240240240240241
Мария,https://www.tripadvisor.ru/Hotel_Review-g608960-d8310212-Reviews-Mariya-Anapa_Krasnodar_Krai_Southern_District.html,Лодж,,6,"ул. Ивана Голубца, 37, Анапа 353440 Россия",0,4.5,1.275,0.9180180180180181
Родник,https://www.tripadvisor.ru/Hotel_Review-g608960-d6516774-Reviews-Rodnik-Anapa_Krasnodar_Krai_Southern_District.html,Российский санаторий,,54,"Пионерский проспект, 30, Анапа 353456 Россия",44,3.5,1.3988916256157635,0.9289299922076858
Южный берег,https://www.tripadvisor.ru/Hotel_Review-g608960-d10150265-Reviews-Yuzhny_Bereg-Anapa_Krasnodar_Krai_Southern_District.html,Лодж,,7,"ул. Самбурова, 176, Анапа 353440 Россия",0,5.0,1.4375,1.021021021021021
Абрикос Garden Hotel,https://www.tripadvisor.ru/Hotel_Review-g608960-d23518383-Reviews-Abrikos_Garden_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,4,"Пионерский проспект 270E, Анапа 353456 Россия",0,5.0,1.012012012012012,1.012012012012012
Гостевой дом Селини,https://www.tripadvisor.ru/Hotel_Review-g608960-d3431968-Reviews-Selini_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,10,"Гостевой проезд, д. 26, Анапа 353440 Россия",0,4.5,1.088679245283019,0.93003003003003
Альфа,https://www.tripadvisor.ru/Hotel_Review-g608960-d2706281-Reviews-Hotel_Alfa-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,17,"Пионерский проспект, 85А, Анапа 353410 Россия",16,4.0,0.875330261976696,0.875330261976696
"Гостиница ""Валентина""",https://www.tripadvisor.ru/Hotel_Review-g608960-d3915333-Reviews-Valentina_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,19,"ул. Горького, 67, Анапа 353440 Россия",14,4.5,0.9783013666169964,0.9783013666169964
Hotel Grand Agatia,https://www.tripadvisor.ru/Hotel_Review-g608960-d14934500-Reviews-Hotel_Grand_Agatia-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,7,"Верхняя дорога, 145, Анапа 353456 Россия",12,4.5,0.9392304292152547,0.9392304292152547
Гостиница Венера 2,https://www.tripadvisor.ru/Hotel_Review-g608960-d6116602-Reviews-Venera_2_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Хостел,,8,"Пионерский пр-т, д. 48 п. Джемете, Анапа 353456 Россия",28,5.0,2.4035087719298245,1.0665126431439025
Отель Боспор,https://www.tripadvisor.ru/Hotel_Review-g608960-d1462900-Reviews-Bospor-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,30,"ул. Крепостная, д. 1а, Анапа 353440 Россия",51,3.5,0.8674800749155833,0.8674800749155833
Курортный Отель Шихан,https://www.tripadvisor.ru/Hotel_Review-g608960-d6438397-Reviews-Hotel_Shihan-Anapa_Krasnodar_Krai_Southern_District.html,Российский пансионат,,18,"Пионерский проспект, 83A, Анапа 353456 Россия",25,4.0,0.9960312992960438,0.8919903211253742
Casa Mare,https://www.tripadvisor.ru/Hotel_Review-g608960-d13975741-Reviews-Casa_Mare-Anapa_Krasnodar_Krai_Southern_District.html,Гостевой дом,,5,"259 Pionerskiy Prospekt, Анапа 353456 Россия",0,5.0,1.0769230769230769,1.015015015015015
Элис,https://www.tripadvisor.ru/Hotel_Review-g608960-d5414761-Reviews-Elis-Anapa_Krasnodar_Krai_Southern_District.html,Гостевой дом,,13,"улица Шевченко дом 92, Анапа 353440 Россия",12,4.0,1.1025641025641026,0.8572484472332728
"Пансионат ""София""",https://www.tripadvisor.ru/Hotel_Review-g608960-d4541171-Reviews-Sophia_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,78,"Пионерский проспект, 19А, Анапа 353444 Россия",136,3.5,1.140607527102216,1.140607527102216
Отель Круиз,https://www.tripadvisor.ru/Hotel_Review-g608960-d14112680-Reviews-Kruiz_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,6,"Пионерский проспект, 81, Анапа 353450 Россия",41,4.5,0.9802334960149832,0.9802334960149832
Отель Джеметинский,https://www.tripadvisor.ru/Hotel_Review-g608960-d13463054-Reviews-Dzhemetinskiy_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Гостиница особого типа,,5,"Пионерский проспект, 81/Е, Анапа 353450 Россия",0,5.0,1.1666666666666667,1.015015015015015
"Отель ""Луна""",https://www.tripadvisor.ru/Hotel_Review-g608960-d10420163-Reviews-Hotel_Luna-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,28,"проезд Тополиный 2, Анапа 353456 Россия",45,3.5,0.8523693648124605,0.8523693648124605
La Costa Hotel,https://www.tripadvisor.ru/Hotel_Review-g608960-d8729957-Reviews-La_Costa_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,7,"проезд Джеметинский 6Б, Анапа 353440 Россия",0,4.5,0.921021021021021,0.921021021021021
